iter,l2_abs,l2_rel
54500,6.965352594852e-02,1.407141924796e-01
55000,6.963557004929e-02,1.406779179360e-01
55500,6.961811333895e-02,1.406426518549e-01
56000,6.960086524487e-02,1.406078072207e-01
56500,6.958377361298e-02,1.405732786718e-01
57000,6.956671923399e-02,1.405388253812e-01
57500,6.955020129681e-02,1.405054558115e-01
58000,6.953366845846e-02,1.404720561384e-01
58500,6.951752305031e-02,1.404394391525e-01
59000,6.950146704912e-02,1.404070027868e-01
59500,6.948535889387e-02,1.403744610593e-01
60000,6.947021931410e-02,1.403438760500e-01
60500,6.945522874594e-02,1.403135920742e-01
61000,6.943972408772e-02,1.402822695326e-01
61500,6.942491978407e-02,1.402523618488e-01
62000,6.941032409668e-02,1.402228756119e-01
62500,6.939583271742e-02,1.401936000986e-01
63000,6.938163191080e-02,1.401649116006e-01
63500,6.936747580767e-02,1.401363134127e-01
64000,6.935372203588e-02,1.401085280155e-01
64500,6.933987140656e-02,1.400805469464e-01
65000,6.932634115219e-02,1.400532130994e-01
65500,6.931277364492e-02,1.400258039941e-01
66000,6.929998099804e-02,1.399999602633e-01
66500,6.928695738316e-02,1.399736499304e-01
67000,6.927430629730e-02,1.399480921815e-01
67500,6.926166266203e-02,1.399225494842e-01
68000,6.924911588430e-02,1.398972024588e-01
50,6.947011500597e-02,1.403436653265e-01
100,6.947011500597e-02,1.403436653265e-01
150,6.947011500597e-02,1.403436653265e-01
200,6.947011500597e-02,1.403436653265e-01
50,6.947010010481e-02,1.403436352231e-01
50,7.124317437410e-02,1.439256034094e-01
100,7.078869640827e-02,1.430074661136e-01
150,7.028799504042e-02,1.419959482085e-01
200,7.001012563705e-02,1.414345958838e-01
250,6.955757737160e-02,1.405203569725e-01
300,6.927923113108e-02,1.399580413405e-01
350,6.909595429897e-02,1.395877851176e-01
400,6.892500817776e-02,1.392424394215e-01
450,6.878197193146e-02,1.389534773106e-01
500,6.871946901083e-02,1.388272087853e-01
-1,6.871946901083e-02,1.388272087853e-01
